订单 ID,订单日期,发货日期,装运模式,客户 ID,客户名称,细分,城市,省/自治区,国家/地区,区域,产品 ID,类别,子类别,产品名称,销售额,数量,折扣,利润
CN-2021-010322060,2021/1/3,2021/1/9,标准级,牛惠-122060,牛惠,小型企业, ,辽宁,中国,东北,技术-复印-10003121,技术,复印机,"佳能 墨水, 数字化",822.024,2,0.4,95.704
CN-2021-010322060,2021/1/3,2021/1/9,标准级,牛惠-122060,牛惠,小型企业,桓仁,辽宁,中国,东北,办公用-装订-10002049,办公用品,装订机,"Ibico 装订机盖, 透明",183.54,5,0.4,-70.56
CN-2021-010410890,2021/1/4,2021/1/8,标准级,陶丽-110890,陶丽雪,公司,深圳,广东,中国,中南,办公用-标签-10001875,办公用品,标签,"Avery 文件夹标签, 可调",458.64,14,0,229.32
CN-2021-010410890,2021/1/4,2021/1/8,标准级,陶丽-110890,陶丽雪,公司,深圳,广东,中国,中南,家具-桌子-10004891,家具,桌子,"Hon 咖啡桌, 黑色",2211.3,2,0.25,29.26
CN-2021-010414006,2021/1/4,2021/1/9,二级,徐虹-114006,徐虹,公司,金沙,江苏,中国,华东,办公用-纸张-10003357,办公用品,纸张,"Green Bar 笔记本, 优质",695.1,5,0,333.2
CN-2021-010414006,2021/1/4,2021/1/9,二级,徐虹-114006,徐虹,公司,金沙,江苏,中国,华东,家具-椅子-10002415,家具,椅子,"Novimex 摇椅, 红色",3312.036,9,0.4,-552.384
CN-2021-010414006,2021/1/4,2021/1/9,二级,徐虹-114006,徐虹,公司,金沙,江苏,中国,华东,家具-椅子-10001437,家具,椅子,"Hon 摇椅, 每套两件",1116.108,3,0.4,-260.652
CN-2021-010524177,2021/1/5,2021/1/10,标准级,贺鹏-124177,贺鹏,小型企业,常州,江苏,中国,华东,技术-配件-10001666,技术,配件,"SanDisk 键区, 回收",446.544,3,0.4,-0.336
CN-2021-010531245,2021/1/5,2021/1/11,标准级,韩虎-131245,韩虎,小型企业,界首,安徽,中国,华东,办公用-装订-10001290,办公用品,装订机,"Ibico 装订机, 透明",418.32,6,0,74.76
CN-2021-010596553,2021/1/5,2021/1/7,一级,卢芳-096553,卢芳,消费者,珠海,广东,中国,中南,办公用-系固-10000678,办公用品,系固件,"Accos 按钉, 金属",341.6,5,0,119
CN-2021-010596834,2021/1/5,2021/1/8,二级,廖乐-096834,廖乐,消费者,保定,河北,中国,华北,办公用-收纳-10004714,办公用品,收纳具,"Smead 盒, 单宽度",352.8,7,0,154.84
CN-2021-010596834,2021/1/5,2021/1/8,二级,廖乐-096834,廖乐,消费者,保定,河北,中国,华北,办公用-收纳-10004334,办公用品,收纳具,"Rogers 锁柜, 蓝色",4937.8,5,0,1826.3
CN-2021-010596834,2021/1/5,2021/1/8,二级,廖乐-096834,廖乐,消费者,保定,河北,中国,华北,家具-书架-10002499,家具,书架,"Safco 墙角架, 黑色",2815.12,4,0,56
CN-2021-010605662,2021/1/6,2021/1/8,一级,柯婷-105662,柯婷,消费者,湛江,广东,中国,中南,办公用-标签-10004405,办公用品,标签,"Avery 文件夹标签, 白色",85.12,2,0,1.68
CN-2021-010605662,2021/1/6,2021/1/8,一级,柯婷-105662,柯婷,消费者,湛江,广东,中国,中南,技术-配件-10001666,技术,配件,"SanDisk 键区, 回收",496.16,2,0,198.24
CN-2021-010732401,2021/1/7,2021/1/11,标准级,白立-132401,白立荣,消费者,营口,辽宁,中国,东北,家具-椅子-10001258,家具,椅子,"Harbour Creations 扶手椅, 可调",5332.32,4,0.4,444.08
CN-2021-010732401,2021/1/7,2021/1/11,标准级,白立-132401,白立荣,消费者,营口,辽宁,中国,东北,办公用-标签-10002697,办公用品,标签,"Smead 运输标签, 红色",160.02,3,0,70.14
CN-2021-010732401,2021/1/7,2021/1/11,标准级,白立-132401,白立荣,消费者,营口,辽宁,中国,东北,技术-电话-10003796,技术,电话,"思科 办公室电话机, 蓝色",901.152,4,0.4,-421.008
CN-2021-010732401,2021/1/7,2021/1/11,标准级,白立-132401,白立荣,消费者,营口,辽宁,中国,东北,办公用-美术-10000636,办公用品,美术,"Binney & Smith 记号笔, 金属",189.28,8,0.8,-492.8
CN-2021-010732401,2021/1/7,2021/1/11,标准级,白立-132401,白立荣,消费者,营口,辽宁,中国,东北,办公用-器具-10003836,办公用品,器具,"Hoover 微波炉, 黑色",3450.384,4,0.4,-1553.216
CN-2021-010811638,2021/1/8,2021/1/9,一级,洪毅-111638,洪毅,公司,武汉,湖北,中国,中南,办公用-系固-10000749,办公用品,系固件,"Stockwell 图钉, 金属",185.64,5,0.4,-43.96
CN-2021-010811638,2021/1/8,2021/1/9,一级,洪毅-111638,洪毅,公司,武汉,湖北,中国,中南,办公用-用品-10003194,办公用品,用品,"Kleencut 尺子, 工业",127.512,3,0.4,-44.688
CN-2021-010811638,2021/1/8,2021/1/9,一级,洪毅-111638,洪毅,公司,武汉,湖北,中国,中南,家具-书架-10001133,家具,书架,"Sauder 书库, 白色",3277.26,3,0.4,-1475.04
CN-2021-010811638,2021/1/8,2021/1/9,一级,洪毅-111638,洪毅,公司,武汉,湖北,中国,中南,技术-电话-10003151,技术,电话,"三星 耳机, 混合尺寸",425.88,2,0.4,-206.08
CN-2021-010811638,2021/1/8,2021/1/9,一级,洪毅-111638,洪毅,公司,武汉,湖北,中国,中南,办公用-纸张-10004623,办公用品,纸张,"施乐 计划信息表, 回收",189.28,2,0,64.12
CN-2021-010905509,2021/1/9,2021/1/13,二级,涂珑-105509,涂珑,小型企业,周口,河南,中国,中南,技术-设备-10003169,技术,设备,"松下 计算器, 白色",1590.54,7,0,15.68
CN-2021-010905509,2021/1/9,2021/1/13,二级,涂珑-105509,涂珑,小型企业,周口,河南,中国,中南,办公用-用品-10003575,办公用品,用品,"Stiletto 尺子, 蓝色",69.44,1,0,24.92
CN-2021-010910285,2021/1/9,2021/1/13,标准级,常光-110285,常光,公司,抚顺,辽宁,中国,东北,办公用-系固-10000137,办公用品,系固件,"Stockwell 橡皮筋, 整包",135.576,3,0.4,-63.504
CN-2021-010910285,2021/1/9,2021/1/13,标准级,常光-110285,常光,公司,抚顺,辽宁,中国,东北,技术-电话-10004726,技术,电话,"苹果 音频基座, 整包",4207.896,9,0.4,-1473.444
CN-2021-010920151,2021/1/9,2021/1/13,二级,唐栋-120151,唐栋,小型企业,铜川,陕西,中国,西北,技术-配件-10004915,技术,配件,"Memorex 键盘, 回收",968.1,3,0,125.58
CN-2021-010920151,2021/1/9,2021/1/13,二级,唐栋-120151,唐栋,小型企业,铜川,陕西,中国,西北,办公用-器具-10001602,办公用品,器具,"Hoover 微波炉, 银色",1443.82,1,0,173.18
CN-2021-011007757,2021/1/10,2021/1/16,标准级,付涛-107757,付涛,公司,高邮,江苏,中国,华东,办公用-纸张-10000778,办公用品,纸张,"施乐 备忘录便条, 回收",125.44,2,0,14.84
CN-2021-011030055,2021/1/10,2021/1/14,二级,方蔓-130055,方蔓楚,消费者,牡丹江,黑龙江,中国,东北,办公用-纸张-10004671,办公用品,纸张,"Enermax 信纸, 优质",219.8,1,0,65.94
CN-2021-011030055,2021/1/10,2021/1/14,二级,方蔓-130055,方蔓楚,消费者,牡丹江,黑龙江,中国,东北,办公用-纸张-10001526,办公用品,纸张,"Enermax 备忘录便条, 回收",508.62,7,0,105.84
CN-2021-011117644,2021/1/11,2021/1/16,标准级,潘雯-117644,潘雯,公司,七台河,黑龙江,中国,东北,办公用-用品-10003209,办公用品,用品,"Acme 大剪刀, 工业",721.56,3,0,100.8
CN-2021-011117644,2021/1/11,2021/1/16,标准级,潘雯-117644,潘雯,公司,七台河,黑龙江,中国,东北,办公用-收纳-10000871,办公用品,收纳具,"Eldon 盒, 工业",150.36,3,0,28.56
CN-2021-011117964,2021/1/11,2021/1/13,一级,贺虹-117964,贺虹,公司,天津,天津,中国,华北,办公用-信封-10002118,办公用品,信封,"Kraft 局间信封, 红色",235.48,1,0,25.9
CN-2021-011193929,2021/1/11,2021/1/17,标准级,任婵-093929,任婵娟,公司,汉沽,天津,中国,华北,技术-配件-10004519,技术,配件,"罗技 鼠标, 实惠",683.2,5,0,198.1
CN-2021-011194867,2021/1/11,2021/1/16,标准级,佘平-094867,佘平,消费者,松陵,江苏,中国,华东,办公用-用品-10000032,办公用品,用品,"Acme 美工刀, 工业",331.128,3,0.4,-132.552
CN-2021-011194867,2021/1/11,2021/1/16,标准级,佘平-094867,佘平,消费者,松陵,江苏,中国,华东,办公用-系固-10004142,办公用品,系固件,"Accos 按钉, 整包",121.968,3,0.4,-40.992
CN-2021-011194867,2021/1/11,2021/1/16,标准级,佘平-094867,佘平,消费者,松陵,江苏,中国,华东,技术-配件-10004714,技术,配件,"罗技 键区, 实惠",389.088,3,0.4,-64.932
CN-2021-011199983,2021/1/11,2021/1/16,标准级,潘丽-099983,潘丽美,公司,沂水,山东,中国,华东,办公用-用品-10000602,办公用品,用品,"Fiskars 修剪器, 蓝色",2368.8,12,0,1159.2
CN-2021-011200612,2021/1/12,2021/1/16,标准级,常光-100612,常光,公司,常德,湖南,中国,中南,办公用-系固-10001943,办公用品,系固件,"Stockwell 夹子, 每包 12 个",435.4,5,0,121.8
CN-2021-011202110,2021/1/12,2021/1/12,当日,马丽-102110,马丽娜,消费者,北京,北京,中国,华北,家具-椅子-10003151,家具,椅子,"Novimex 凳子, 每套两件",2333.94,3,0,279.72
CN-2021-011202110,2021/1/12,2021/1/12,当日,马丽-102110,马丽娜,消费者,北京,北京,中国,华北,家具-椅子-10002532,家具,椅子,"Hon 椅垫, 可调",1083.04,4,0,541.52
CN-2021-011202110,2021/1/12,2021/1/12,当日,马丽-102110,马丽娜,消费者,北京,北京,中国,华北,办公用-收纳-10004188,办公用品,收纳具,"Smead 文件夹, 蓝色",163.24,2,0,66.92
CN-2021-011306926,2021/1/13,2021/1/16,一级,田立-106926,田立,消费者,宿州,安徽,中国,华东,家具-用具-10001878,家具,用具,"Rubvermaid 闹钟, 黑色",2340.8,10,0,116.2
CN-2021-011306926,2021/1/13,2021/1/16,一级,田立-106926,田立,消费者,宿州,安徽,中国,华东,家具-用具-10003736,家具,用具,"Deflect-O 分层置放架, 优质",781.06,7,0,155.82
CN-2021-011331893,2021/1/13,2021/1/17,标准级,薛柏-131893,薛柏,小型企业,大庆,黑龙江,中国,东北,办公用-纸张-10004521,办公用品,纸张,"Green Bar 信纸, 优质",1580.74,7,0,552.72
CN-2021-011331893,2021/1/13,2021/1/17,标准级,薛柏-131893,薛柏,小型企业,大庆,黑龙江,中国,东北,办公用-装订-10004263,办公用品,装订机,"Acco 装订机, 实惠",212.1,3,0,39.9
CN-2021-011331893,2021/1/13,2021/1/17,标准级,薛柏-131893,薛柏,小型企业,大庆,黑龙江,中国,东北,家具-用具-10002252,家具,用具,"Deflect-O 框架, 优质",507.08,1,0,243.32
CN-2021-011331893,2021/1/13,2021/1/17,标准级,薛柏-131893,薛柏,小型企业,大庆,黑龙江,中国,东北,办公用-系固-10004381,办公用品,系固件,"Accos 图钉, 金属",322,5,0,12.6
CN-2021-011384458,2021/1/13,2021/1/15,一级,丁崆-084458,丁崆,消费者,咸水沽,天津,中国,华北,家具-椅子-10000676,家具,椅子,"SAFCO 椅垫, 可调",1744.68,6,0,802.2
CN-2021-011620619,2021/1/16,2021/1/21,标准级,薛梦-120619,薛梦,消费者,徐州,江苏,中国,华东,办公用-美术-10004812,办公用品,美术,"Binney & Smith 铅笔刀, 蓝色",74.676,3,0.8,-145.824
CN-2021-011700496,2021/1/17,2021/1/19,一级,蒋冬-100496,蒋冬露,消费者,天津,天津,中国,华北,家具-用具-10001796,家具,用具,"Eldon 灯泡, 黑色",235.2,2,0,103.32
CN-2021-011700496,2021/1/17,2021/1/19,一级,蒋冬-100496,蒋冬露,消费者,天津,天津,中国,华北,家具-用具-10004946,家具,用具,"Eldon 框架, 黑色",2712.5,5,0,1247.4
CN-2021-011714222,2021/1/17,2021/1/22,二级,曹欢-114222,曹欢悦,小型企业,辛置,山西,中国,华北,家具-用具-10001977,家具,用具,"Eldon 框架, 优质",1608.18,3,0,739.62
CN-2021-011714222,2021/1/17,2021/1/22,二级,曹欢-114222,曹欢悦,小型企业,辛置,山西,中国,华北,办公用-收纳-10002430,办公用品,收纳具,"Rogers 文件车, 单宽度",3965.64,6,0,1585.92
CN-2021-011724694,2021/1/17,2021/1/23,标准级,范刚-124694,范刚,消费者,蒙阴,山东,中国,华东,家具-椅子-10002368,家具,椅子,"Office Star 扶手椅, 红色",4362.68,2,0,1526.84
CN-2021-011726999,2021/1/17,2021/1/21,标准级,秦君-126999,秦君,小型企业,沈阳,辽宁,中国,东北,技术-电话-10003002,技术,电话,"诺基亚 音频基座, 蓝色",2801.232,6,0.4,-140.448
CN-2021-011726999,2021/1/17,2021/1/21,标准级,秦君-126999,秦君,小型企业,沈阳,辽宁,中国,东北,办公用-用品-10003039,办公用品,用品,"Acme 开信刀, 锯齿状",376.74,5,0.4,18.34
CN-2021-011822591,2021/1/18,2021/1/20,二级,涂博-122591,涂博,消费者,长沙,湖南,中国,中南,办公用-器具-10003822,办公用品,器具,"KitchenAid 咖啡研磨机, 红色",1315.44,4,0,144.48
CN-2021-011834811,2021/1/18,2021/1/23,二级,贾松-134811,贾松,消费者,颍上城关镇,安徽,中国,华东,办公用-系固-10003116,办公用品,系固件,"OIC 订书钉, 每包 12 个",100.52,2,0,36.96
CN-2021-012104218,2021/1/21,2021/1/24,一级,谭临-104218,谭临耀,消费者,余姚,浙江,中国,华东,办公用-装订-10004481,办公用品,装订机,"Acco 孔加固材料, 实惠",55.944,3,0.4,0.924
CN-2021-012104218,2021/1/21,2021/1/24,一级,谭临-104218,谭临耀,消费者,余姚,浙江,中国,华东,办公用-系固-10004323,办公用品,系固件,"OIC 按钉, 混合尺寸",103.824,3,0.4,-25.956
CN-2021-012104218,2021/1/21,2021/1/24,一级,谭临-104218,谭临耀,消费者,余姚,浙江,中国,华东,家具-用具-10000645,家具,用具,"Deflect-O 相框, 耐用",411.012,3,0.4,-89.208
CN-2021-012121795,2021/1/21,2021/1/23,一级,谭君-121795,谭君,公司,曲阜,山东,中国,华东,办公用-标签-10002381,办公用品,标签,"Harbour Creations 运输标签, 耐用",276.5,5,0,132.3
CN-2021-012121795,2021/1/21,2021/1/23,一级,谭君-121795,谭君,公司,曲阜,山东,中国,华东,办公用-系固-10004216,办公用品,系固件,"Stockwell 回形针, 混合尺寸",255.5,5,0,51.1
CN-2021-012130265,2021/1/21,2021/1/23,二级,马雯-130265,马雯,公司,珲春,吉林,中国,东北,办公用-收纳-10001262,办公用品,收纳具,"Eldon 搁板, 金属",443.24,2,0,124.04
CN-2021-012199656,2021/1/21,2021/1/22,一级,肖冬-099656,肖冬露,小型企业,延吉,吉林,中国,东北,家具-书架-10003501,家具,书架,"宜家 搁架, 白色",806.68,1,0,403.34
CN-2021-012222618,2021/1/22,2021/1/27,标准级,徐岱-122618,徐岱,公司,西安,陕西,中国,西北,办公用-收纳-10003464,办公用品,收纳具,"Rogers 盘, 金属",1701,6,0,730.8
CN-2021-012222618,2021/1/22,2021/1/27,标准级,徐岱-122618,徐岱,公司,西安,陕西,中国,西北,办公用-装订-10004255,办公用品,装订机,"Acco 打孔机, 回收",284.48,2,0,108.08
CN-2021-012303505,2021/1/23,2021/1/27,二级,潘健-103505,潘健,消费者,太原,山西,中国,华北,家具-书架-10003100,家具,书架,"宜家 墙角架, 传统",1722.84,3,0,619.92
CN-2021-012303505,2021/1/23,2021/1/27,二级,潘健-103505,潘健,消费者,太原,山西,中国,华北,办公用-器具-10000850,办公用品,器具,"KitchenAid 炉灶, 白色",5304.04,2,0,954.52
CN-2021-012521476,2021/1/25,2021/2/1,标准级,贺平-121476,贺平,消费者,南阳,河南,中国,中南,家具-书架-10001846,家具,书架,"Dania 搁架, 传统",1580.6,2,0,537.32
CN-2021-012595878,2021/1/25,2021/1/29,二级,夏惠-095878,夏惠英,消费者,保定,河北,中国,华北,办公用-装订-10004481,办公用品,装订机,"Acco 孔加固材料, 实惠",155.4,5,0,63.7
CN-2021-012595878,2021/1/25,2021/1/29,二级,夏惠-095878,夏惠英,消费者,保定,河北,中国,华北,技术-复印-10001101,技术,复印机,"夏普 无线传真机, 红色",6610.24,4,0,1982.96
CN-2021-012595878,2021/1/25,2021/1/29,二级,夏惠-095878,夏惠英,消费者,保定,河北,中国,华北,办公用-装订-10001165,办公用品,装订机,"Cardinal 打孔机, 回收",408.24,3,0,81.48
CN-2021-012595878,2021/1/25,2021/1/29,二级,夏惠-095878,夏惠英,消费者,保定,河北,中国,华北,办公用-器具-10000088,办公用品,器具,"Breville 搅拌机, 红色",1263.36,3,0,126
CN-2021-012617734,2021/1/26,2021/1/29,二级,韦实-117734,韦实,消费者,上海,上海,中国,华东,技术-电话-10004627,技术,电话,"思科 充电器, 整包",6080.48,2,0,2249.52
CN-2021-012617734,2021/1/26,2021/1/29,二级,韦实-117734,韦实,消费者,上海,上海,中国,华东,办公用-用品-10000963,办公用品,用品,"Fiskars 开信刀, 钢",382.62,3,0,149.1
CN-2021-012617734,2021/1/26,2021/1/29,二级,韦实-117734,韦实,消费者,上海,上海,中国,华东,家具-桌子-10003159,家具,桌子,"Chromcraft 木桌, 黑色",5404.224,4,0.4,-180.656
CN-2021-012617734,2021/1/26,2021/1/29,二级,韦实-117734,韦实,消费者,上海,上海,中国,华东,技术-电话-10000199,技术,电话,"三星 智能手机, 混合尺寸",2353.68,4,0,399.84
CN-2021-012617734,2021/1/26,2021/1/29,二级,韦实-117734,韦实,消费者,上海,上海,中国,华东,办公用-装订-10000994,办公用品,装订机,"Avery 装订机, 耐用",268.8,4,0,91.28
CN-2021-012655944,2021/1/26,2021/1/28,一级,黄岱-155944,黄岱,消费者,重庆,重庆,中国,西南,办公用-用品-10004086,办公用品,用品,"Fiskars 美工刀, 蓝色",663.04,4,0,12.88
CN-2021-012655944,2021/1/26,2021/1/28,一级,黄岱-155944,黄岱,消费者,重庆,重庆,中国,西南,办公用-装订-10000994,办公用品,装订机,"Avery 装订机, 耐用",201.6,3,0,68.46
CN-2021-012655944,2021/1/26,2021/1/28,一级,黄岱-155944,黄岱,消费者,重庆,重庆,中国,西南,技术-电话-10003347,技术,电话,"摩托罗拉 信号增强器, 全尺寸",2695.84,4,0,1078
CN-2021-012689084,2021/1/26,2021/1/28,二级,唐安-089084,唐安,消费者,南宁,广西,中国,中南,办公用-装订-10004336,办公用品,装订机,"Acco 装订机盖, 实惠",124.32,2,0,23.52
CN-2021-012704830,2021/1/27,2021/2/1,标准级,林康-104830,林康,公司,滁州,安徽,中国,华东,技术-电话-10004290,技术,电话,"诺基亚 信号增强器, 蓝色",637,1,0,31.78
CN-2021-012734548,2021/1/27,2021/1/27,当日,段强-134548,段强,公司,青冈,黑龙江,中国,东北,办公用-信封-10003939,办公用品,信封,"Cameo 商业信封, 回收",147,2,0,29.4
CN-2021-012734548,2021/1/27,2021/1/27,当日,段强-134548,段强,公司,青冈,黑龙江,中国,东北,办公用-装订-10000416,办公用品,装订机,"Acco 订书机, 耐用",1717.94,7,0,463.54
CN-2021-012752428,2021/1/27,2021/1/29,一级,韦华-152428,韦华,公司,重庆,重庆,中国,西南,办公用-收纳-10003617,办公用品,收纳具,"Tenex 文件车, 单宽度",4382.56,7,0,744.8
CN-2021-012752428,2021/1/27,2021/1/29,一级,韦华-152428,韦华,公司,重庆,重庆,中国,西南,办公用-标签-10001238,办公用品,标签,"Avery 合法证物标签, 耐用",54.74,1,0,15.82
CN-2021-012752428,2021/1/27,2021/1/29,一级,韦华-152428,韦华,公司,重庆,重庆,中国,西南,办公用-美术-10004410,办公用品,美术,"Boston 画布, 整包",1257.9,5,0,100.1
CN-2021-012752428,2021/1/27,2021/1/29,一级,韦华-152428,韦华,公司,重庆,重庆,中国,西南,技术-设备-10002765,技术,设备,"爱普生 打印机, 白色",6090.7,5,0,182.7
CN-2021-013024663,2021/1/30,2021/2/5,标准级,王辉-124663,王辉,消费者,榆林,陕西,中国,西北,技术-电话-10002054,技术,电话,"苹果 充电器, 全尺寸",17850,6,0,3927
CN-2021-013024663,2021/1/30,2021/2/5,标准级,王辉-124663,王辉,消费者,榆林,陕西,中国,西北,办公用-用品-10001871,办公用品,用品,"Fiskars 开信刀, 蓝色",391.02,3,0,85.68
CN-2021-013026789,2021/1/30,2021/2/3,二级,范晒-126789,范晒明,消费者,朗乡,黑龙江,中国,东北,办公用-美术-10000410,办公用品,美术,"BIC 铅笔刀, 金属",226.016,2,0.2,-42.504
CN-2021-013026789,2021/1/30,2021/2/3,二级,范晒-126789,范晒明,消费者,朗乡,黑龙江,中国,东北,办公用-用品-10002431,办公用品,用品,"Kleencut 剪刀, 锯齿状",354.48,4,0,109.76
CN-2021-013026789,2021/1/30,2021/2/3,二级,范晒-126789,范晒明,消费者,朗乡,黑龙江,中国,东北,办公用-标签-10000058,办公用品,标签,"Novimex 运输标签, 白色",153.72,3,0,72.24
CN-2021-013026789,2021/1/30,2021/2/3,二级,范晒-126789,范晒明,消费者,朗乡,黑龙江,中国,东北,技术-配件-10000196,技术,配件,"罗技 闪存驱动器, 可编程",746.9,5,0,149.1
CN-2021-013026789,2021/1/30,2021/2/3,二级,范晒-126789,范晒明,消费者,朗乡,黑龙江,中国,东北,办公用-装订-10003513,办公用品,装订机,"Acco 标签, 耐用",141.12,3,0,36.54
CN-2021-013026789,2021/1/30,2021/2/3,二级,范晒-126789,范晒明,消费者,朗乡,黑龙江,中国,东北,办公用-器具-10003122,办公用品,器具,"Breville 炉灶, 红色",5241.04,2,0,1624.56
CN-2021-013026789,2021/1/30,2021/2/3,二级,范晒-126789,范晒明,消费者,朗乡,黑龙江,中国,东北,家具-椅子-10000989,家具,椅子,"Office Star 摇椅, 每套两件",2672.32,4,0,80.08
CN-2021-013026789,2021/1/30,2021/2/3,二级,范晒-126789,范晒明,消费者,朗乡,黑龙江,中国,东北,技术-配件-10001323,技术,配件,"罗技 记忆卡, 可编程",1957.76,4,0,215.04
CN-2021-013098092,2021/1/30,2021/2/6,标准级,唐爽-098092,唐爽,小型企业,皇岗,广东,中国,中南,家具-椅子-10001337,家具,椅子,"Harbour Creations 凳子, 可调",1533.924,2,0.1,443.044
CN-2021-013098092,2021/1/30,2021/2/6,标准级,唐爽-098092,唐爽,小型企业,皇岗,广东,中国,中南,办公用-收纳-10003671,办公用品,收纳具,"Tenex 盘, 蓝色",505.96,2,0,247.8
CN-2021-013098092,2021/1/30,2021/2/6,标准级,唐爽-098092,唐爽,小型企业,皇岗,广东,中国,中南,家具-椅子-10000123,家具,椅子,"Hon 扶手椅, 黑色",3819.564,2,0.1,551.684
CN-2021-013127880,2021/1/31,2021/2/5,标准级,薛君-127880,薛君,消费者,集宁,内蒙古,中国,华北,技术-配件-10003779,技术,配件,"Enermax 键盘, 可编程",713.664,3,0.4,-321.216
CN-2021-013127880,2021/1/31,2021/2/5,标准级,薛君-127880,薛君,消费者,集宁,内蒙古,中国,华北,家具-书架-10002369,家具,书架,"Dania 书架, 金属",2372.58,7,0.4,0
CN-2021-013127880,2021/1/31,2021/2/5,标准级,薛君-127880,薛君,消费者,集宁,内蒙古,中国,华北,技术-设备-10002736,技术,设备,"StarTech 卡片打印机, 耐用",1832.544,4,0.4,182.784
CN-2021-020105175,2021/2/1,2021/2/4,二级,殷昌-105175,殷昌,消费者,曲阜,山东,中国,华东,技术-设备-10001220,技术,设备,"冲电器 打印机, 耐用",3760.68,3,0,1090.32
CN-2021-020115132,2021/2/1,2021/2/3,一级,韩莞-115132,韩莞颖,小型企业,北京,北京,中国,华北,家具-椅子-10004110,家具,椅子,"SAFCO 沙滩椅, 可调",1696.38,7,0,661.5
CN-2021-020119653,2021/2/1,2021/2/5,标准级,贺丹-119653,贺丹,消费者,成都,四川,中国,西南,家具-椅子-10000519,家具,椅子,"SAFCO 扶手椅, 黑色",2570.4,2,0.4,-556.92
CN-2021-020119653,2021/2/1,2021/2/5,标准级,贺丹-119653,贺丹,消费者,成都,四川,中国,西南,技术-配件-10001141,技术,配件,"贝尔金 键盘, 实惠",939.456,4,0.4,156.576
CN-2021-020132366,2021/2/1,2021/2/4,二级,袁丽-132366,袁丽华,公司,鱼洞,重庆,中国,西南,办公用-装订-10003973,办公用品,装订机,"Ibico 装订机, 实惠",288.96,4,0,83.44
